"t","ld_disp","x","y","env1","env2","region","is_port","abund_sp1","avg_pheno_e1_sp1","avg_pheno_e2_sp1","abund_sp2","avg_pheno_e1_sp2","avg_pheno_e2_sp2","abund_sp3","avg_pheno_e1_sp3","avg_pheno_e2_sp3"
1,0.5,1,1,111.791,135.145,1,1,0,0,0,0,0,0,0,0,0
1,0.5,1,2,132.16,132.067,1,0,0,0,0,0,0,0,0,0,0
1,0.5,1,3,139.522,132.937,1,0,0,0,0,0,0,0,0,0,0
1,0.5,1,4,176.307,156.758,2,1,73,163.286,180.682,0,0,0,0,0,0
1,0.5,1,5,138.702,160.579,2,0,76,154.902,180.171,0,0,0,0,0,0
1,0.5,1,6,180.11,144.532,2,0,57,164.161,176.776,0,0,0,0,0,0
1,0.5,1,7,102.852,184.911,3,1,0,0,0,0,0,0,0,0,0
1,0.5,1,8,158.606,117.248,3,0,0,0,0,0,0,0,0,0,0
1,0.5,1,9,145.463,163.254,3,0,0,0,0,0,0,0,0,0,0
1,0.5,2,1,149.146,129.445,1,0,0,0,0,0,0,0,0,0,0
1,0.5,2,2,165.018,158.649,1,0,0,0,0,0,0,0,0,0,0
1,0.5,2,3,200.861,116.983,1,0,0,0,0,0,0,0,0,0,0
1,0.5,2,4,101.386,189.621,2,0,29,151.184,191.12,0,0,0,0,0,0
1,0.5,2,5,161.976,198.542,2,0,79,158.213,191.225,0,0,0,0,0,0
1,0.5,2,6,189.359,106.642,2,0,19,164.352,175.628,0,0,0,0,0,0
1,0.5,2,7,169.19,164.98,3,0,0,0,0,0,0,0,0,0,0
1,0.5,2,8,159.499,115.159,3,0,0,0,0,0,0,0,0,0,0
1,0.5,2,9,130.657,140.88,3,0,0,0,0,0,0,0,0,0,0
1,0.5,3,1,100.514,185.834,1,0,0,0,0,0,0,0,0,0,0
1,0.5,3,2,181.897,189.385,1,0,0,0,0,0,0,0,0,0,0
1,0.5,3,3,183.353,149.528,1,0,0,0,0,0,0,0,0,0,0
1,0.5,3,4,156.868,148.931,2,0,73,160.847,177.984,0,0,0,0,0,0
1,0.5,3,5,164.384,108.313,2,0,38,164.326,175.594,0,0,0,0,0,0
1,0.5,3,6,158.537,111.981,2,0,39,163.552,175.884,0,0,0,0,0,0
1,0.5,3,7,179.846,191.941,3,0,0,0,0,0,0,0,0,0,0
1,0.5,3,8,115.641,113.441,3,0,0,0,0,0,0,0,0,0,0
1,0.5,3,9,157.51,187.082,3,0,0,0,0,0,0,0,0,0,0
